"date","survey_type","observers","daily_sheet","run","bay","direction_travel","dist_travel_m","run_time_sec","vessel_speed_mps","current_speed_mps","time_block","set_start","set_end","NEW_set_start","NEW_set_end","run_time","shift_seg","trap_type","depth_ft","mod_stat","sockeye_smolt_total","sockeye_smolt_release","sockeye_fry_total","sockeye_fry_release","comments_tally","USID","env_index","RPM","time","wx_description","cc_perc","brightness","precipitation","surface_chop","water_temp_C","air_temp_C","water_clarity_in","debris","flow_in","flow_out","flow_ms","flow_diff","comments_env","discharge_m3s","run_time_min","vt_net_type","species_ID_field","life_stage_field","ID","DNA_vial","fork_mm","size_class_mm","weight_g","AFC","histo_sample","histo_jar","spag_tag","comments_bio","Verified","fish_ID_DNA","GSI_submitted","reason_not_submitted","GSI_processed","reason_not_processed","GSI_received","reason_not_received","species_ID_DNA","ID_error","ID_current_20180327","tally_df_adj","fish_ID_DNA2","CU1_number","CU1_name","CU1_prob","CU2_number","CU2_name","CU2_prob","CU3_number","CU3_name","CU3_prob","CU4_number","CU4_name","CU4_prob","CU5_number","CU5_name","CU5_prob","fish_ID_test1","fish_ID_test2","CU_assgn1_60","CU_diff_assgn1_2","CU_diff_assgn1_2_20","CU_rule","CU_assigned","CU_chilko_combo_prob","CU_chilko_combo_method","CU_chilko_gr_th_60","CU_final","UFID"
2017-04-03,"8 Hrs","RG/GB/SK/CK/KL",1,"R2","B6","US",387,887,0.436,0.564,"09:00-09:59",949,1004,"9:49","10:04","0:15",1,"Vertical",0,"Modified",NA,NA,NA,NA,"","20170403-R2-B6-Vertical-0","20170403-R2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-04-03,"8 Hrs","RG/GB/SK/CK/KL",1,"R3","B11","US",671,949,0.707,0.293,"10:00-10:59",1008,1023,"10:08","10:23","0:15",1,"Vertical",6,"Modified",0,0,0,0,"Moved dead head out of Bay 2","20170403-R3-B11-Vertical-6","20170403-R3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-04-03,"8 Hrs","RG/GB/SK/CK/KL",1,"R3","B11","US",671,949,0.707,0.293,"10:00-10:59",1008,1023,"10:08","10:23","0:15",1,"Vertical",0,"Modified",NA,NA,NA,NA,"Moved dead head out of Bay 2","20170403-R3-B11-Vertical-0","20170403-R3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-04-03,"8 Hrs","RG/GB/SK/CK/KL",1,"R4","B2","US",561,928,0.605,0.395,"10:00-10:59",1050,1105,"10:50","11:05","0:15",1,"Vertical",12,"Modified",NA,NA,NA,NA,"Bolt too big for pulley on Vertical trap/Vertical trap data not valid - could not raise trap. Added water to RST pontoon","20170403-R4-B2-Vertical-12","20170403-R4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-04-03,"8 Hrs","RG/GB/SK/CK/KL",1,"R4","B2","US",561,928,0.605,0.395,"10:00-10:59",1050,1105,"10:50","11:05","0:15",1,"Vertical",0,"Modified",0,0,0,0,"Bolt too big for pulley on Vertical trap/Vertical trap data not valid - could not raise trap. Added water to RST pontoon","20170403-R4-B2-Vertical-0","20170403-R4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-04-03,"8 Hrs","RG/GB/SK/CK/KL",1,"R5","B6","US",357,878,0.407,0.593,"14:00-14:59",1417,1432,"14:17","14:32","0:15",1,"Vertical",12,"Modified",0,0,0,0,"","20170403-R5-B6-Vertical-12","20170403-R5","1200",1421,"Sun, Partly Cloudy","25%","Brightness","None","L","4.5","18","9","N","301385","303700","1.037","-1.04","",1660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-04-03,"8 Hrs","RG/GB/SK/CK/KL",1,"R5","B6","US",357,878,0.407,0.593,"14:00-14:59",1417,1432,"14:17","14:32","0:15",1,"Vertical",0,"Modified",0,0,0,0,"","20170403-R5-B6-Vertical-0","20170403-R5","1200",1421,"Sun, Partly Cloudy","25%","Brightness","None","L","4.5","18","9","N","301385","303700","1.037","-1.04","",1660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-04-03,"8 Hrs","RG/GB/SK/CK/KL",1,"R6","B11","US",584,925,0.631,0.369,"14:00-14:59",1440,1455,"14:40","14:55","0:15",1,"Vertical",12,"Modified",0,0,0,0,"","20170403-R6-B11-Vertical-12","20170403-R6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-04-03,"8 Hrs","RG/GB/SK/CK/KL",1,"R6","B11","US",584,925,0.631,0.369,"14:00-14:59",1440,1455,"14:40","14:55","0:15",1,"Vertical",0,"Modified",0,0,0,0,"","20170403-R6-B11-Vertical-0","20170403-R6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-04-03,"8 Hrs","RG/GB/SK/CK/KL",1,"R7","B2","US",720,1102,0.653,0.347,"15:00-15:59",1502,1517,"15:02","15:17","0:15",1,"Vertical",12,"Modified",0,0,0,0,"Redid Vertical trap at 12' due to previous issues with trap","20170403-R7-B2-Vertical-12","20170403-R7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
